,tweet_id,retweet_count,favorite_count
0,nan,8853,39467
1,nan,6514,33819
2,nan,4328,25461
3,nan,8964,42908
4,nan,9774,41048
5,nan,3261,20562
6,nan,2158,12041
7,nan,16716,56848
8,nan,4429,28226
9,nan,7711,32467
10,nan,7624,31166
11,nan,5156,28268
12,nan,8538,38818
13,nan,4735,27672
14,nan,2321,15359
15,nan,5637,25652
16,nan,4709,29611
17,nan,4559,26080
18,nan,3732,20290
19,nan,3653,22201
20,nan,5609,30779
21,nan,12082,46959
22,nan,18781,69871
23,nan,10737,34222
24,nan,6167,31061
25,nan,8084,35859
26,nan,3443,12306
27,nan,4610,22798
28,nan,3316,21524
29,nan,4,117
30,nan,6523,28469
31,nan,108,0
32,nan,7097,33382
33,nan,6683,36689
34,nan,3899,20788
35,nan,19297,0
36,nan,4556,22367
37,nan,16439,68152
38,nan,6096,28514
39,nan,5100,24765
40,nan,5856,27478
41,nan,21298,74423
42,nan,3128,20771
43,nan,3586,22349
44,nan,10407,46860
45,nan,3825,22986
46,nan,6949,37914
47,nan,4122,24445
48,nan,5134,28903
49,nan,6342,28382
50,nan,12118,45880
51,nan,5203,29900
52,nan,3533,24773
53,nan,11099,51522
54,nan,7,129
55,nan,16570,50199
56,nan,5358,23501
57,nan,2886,17346
58,nan,3989,21734
59,nan,6546,29075
60,nan,4436,27640
61,nan,4533,28150
62,nan,3642,22667
63,nan,10,315
64,nan,3323,23822
65,nan,45849,107956
66,nan,3261,17099
67,nan,7181,0
68,nan,4941,23022
69,nan,2812,19317
70,nan,4319,19763
71,nan,7582,30931
72,nan,1349,0
73,nan,6965,0
74,nan,1349,7913
75,nan,7181,42876
76,nan,17300,71144
77,nan,83,0
78,nan,3994,23258
79,nan,5414,27907
80,nan,5880,27755
81,nan,3506,21125
82,nan,4800,23869
83,nan,2511,19163
84,nan,4903,28490
85,nan,4497,25773
86,nan,5081,22185
87,nan,6342,27997
88,nan,4922,26022
89,nan,4875,28439
90,nan,15546,0
91,nan,4308,26651
92,nan,4125,23134
93,nan,11007,35501
94,nan,12518,0
95,nan,4143,24837
96,nan,1667,0
97,nan,1667,7467
98,nan,5669,28031
99,nan,3884,15029
100,nan,31,0
101,nan,3911,21309
102,nan,9429,41606
103,nan,6649,35085
104,nan,8549,35324
105,nan,11918,39090
106,nan,3678,20787
107,nan,3628,20730
108,nan,5991,0
109,nan,5764,21461
110,nan,3999,23255
111,nan,6393,33791
112,nan,3,121
113,nan,2817,12819
114,nan,27680,85011
115,nan,4384,22453
116,nan,8840,37771
117,nan,25661,0
118,nan,10663,43710
119,nan,6728,29116
120,nan,3327,16476
121,nan,4023,21112
122,nan,12518,55098
123,nan,2240,0
124,nan,6275,28295
125,nan,2240,10539
126,nan,4439,24964
127,nan,7788,35179
128,nan,2697,16755
129,nan,135,0
130,nan,8425,33420
131,nan,32883,0
132,nan,5168,20888
133,nan,3727,20070
134,nan,32883,106827
135,nan,15546,54720
136,nan,8952,0
137,nan,6008,26640
138,nan,5384,27530
139,nan,8209,29063
140,nan,9361,33651
141,nan,3266,15195
142,nan,9616,31459
143,nan,4441,21477
144,nan,4489,15935
145,nan,2687,0
146,nan,5664,24829
147,nan,105,2363
148,nan,1195,9094
149,nan,2687,8945
150,nan,5457,20011
151,nan,3809,17779
152,nan,5388,21492
153,nan,21840,66437
154,nan,37911,0
155,nan,11528,37744
156,nan,4479,18032
157,nan,4119,17538
158,nan,2334,0
159,nan,882,0
160,nan,2334,7878
161,nan,5698,24678
162,nan,3745,19154
163,nan,6295,17474
164,nan,33421,0
165,nan,4349,20021
166,nan,3780,16105
167,nan,1704,19476
168,nan,25661,75193
169,nan,14740,35553
170,nan,8805,0
171,nan,3771,16304
172,nan,5271,22640
173,nan,3154,16524
174,nan,2812,16952
175,nan,11524,36021
176,nan,1785,6236
177,nan,4934,21041
178,nan,20,242
179,nan,183,0
180,nan,4364,19910
181,nan,11633,0
182,nan,3131,17135
183,nan,2068,12446
184,nan,731,0
185,nan,17,545
186,nan,6841,29086
187,nan,27,320
188,nan,1058,4407
189,nan,2313,12498
190,nan,19196,47844
191,nan,5943,28056
192,nan,8987,31657
193,nan,6568,0
194,nan,50,0
195,nan,6690,24188
196,nan,7608,31131
197,nan,5159,20046
198,nan,8285,33911
199,nan,3433,17169
200,nan,6403,30414
201,nan,11265,37198
202,nan,3928,16508
203,nan,2243,0
204,nan,2037,9658
205,nan,2388,15939
206,nan,3885,17492
207,nan,10961,35325
208,nan,7570,21378
209,nan,1741,12217
210,nan,10706,0
211,nan,23,0
212,nan,3819,17300
213,nan,7855,25944
214,nan,6350,22090
215,nan,10352,33348
216,nan,2915,13994
217,nan,367,3647
218,nan,4244,17519
219,nan,5459,21944
220,nan,8404,32390
221,nan,5513,0
222,nan,3487,17039
223,nan,2101,12240
224,nan,7396,32617
225,nan,4826,27104
226,nan,4037,20229
227,nan,832,8834
228,nan,3444,17618
229,nan,3652,0
230,nan,482,0
231,nan,5730,25296
232,nan,1522,5935
233,nan,468,7558
234,nan,3774,20208
235,nan,4800,22036
236,nan,6572,21588
237,nan,3583,23108
238,nan,4404,21685
239,nan,13076,48410
240,nan,3492,15304
241,nan,10226,34394
242,nan,10972,33188
243,nan,3224,17256
244,nan,9894,31737
245,nan,5365,27154
246,nan,15071,0
247,nan,2072,8241
248,nan,6039,25225
249,nan,8640,0
250,nan,2909,14738
251,nan,3617,16361
252,nan,11633,42022
253,nan,3533,17871
254,nan,2450,14753
255,nan,3285,16327
256,nan,5220,23211
257,nan,3081,18310
258,nan,6852,23315
259,nan,56625,0
260,nan,4023,16440
261,nan,1439,7321
262,nan,3937,19637
263,nan,6568,26569
264,nan,3386,15204
265,nan,17504,0
266,nan,8748,27854
267,nan,4168,13755
268,nan,6080,21402
269,nan,5312,17305
270,nan,5991,24926
271,nan,1972,0
272,nan,18285,0
273,nan,3,197
274,nan,1116,13377
275,nan,1972,9761
276,nan,5146,17918
277,nan,6497,20950
278,nan,2597,14640
279,nan,8805,29957
280,nan,158,0
281,nan,7422,29684
282,nan,4505,21289
283,nan,2357,12183
284,nan,38,0
285,nan,12643,0
286,nan,1504,11892
287,nan,5484,24664
288,nan,11525,0
289,nan,370,1824
290,nan,0,150
291,nan,3582,19183
292,nan,8952,37277
293,nan,495,4204
294,nan,2631,13967
295,nan,6005,23074
296,nan,2731,17480
297,nan,88,0
298,nan,2610,13879
299,nan,5237,21029
300,nan,2522,13782
301,nan,626,0
302,nan,31314,0
303,nan,3337,16037
304,nan,4850,23177
305,nan,4935,20924
306,nan,9327,0
307,nan,4121,19447
308,nan,1939,0
309,nan,24013,0
310,nan,3381,17847
311,nan,1939,8503
312,nan,83,2259
313,nan,6516,28552
314,nan,3443,24574
315,nan,1878,11838
316,nan,6159,22943
317,nan,2882,14993
318,nan,12224,0
319,nan,1899,10512
320,nan,5476,22594
321,nan,4130,17194
322,nan,2427,10971
323,nan,2512,14296
324,nan,2729,14661
325,nan,3904,16728
326,nan,251,0
327,nan,3636,22585
328,nan,2357,16258
329,nan,5513,22133
330,nan,2522,14549
